# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	2471
#@/user_id	0f0c650b-c559-41ba-87f1-1a1028d9eaec
a si dun 	阿斯頓	c=0 d=0.0156453 t=2471
de fen 	得分	c=1 d=0.00105946 t=2471
deng lu 	登錄	c=1 d=6.70548e-05 t=2471
di 	底	c=1 d=0.000163287 t=2471
di er bu 	第二步	c=1 d=8.65317e-05 t=2471
di san fang 	第三方	c=0 d=0.0778801 t=2471
di tu 	地圖	c=1 d=0.00246639 t=2471
di yi 	第一	c=1 d=0.000376347 t=2471
di yi bu 	第一步	c=1 d=8.69654e-05 t=2471
di zhi 	地址	c=2 d=0.000111089 t=2471
dian hua 	電話	c=2 d=0.00379403 t=2471
dian nao 	電腦	c=3 d=0.412923 t=2471
dian zi 	電子	c=1 d=0.17552 t=2471
dian zi shu 	電子書	c=1 d=0.18452 t=2471
diao 	叼	c=1 d=0.000382034 t=2471
diao 	屌	c=1 d=0.000428594 t=2471
diao 	掉	c=3 d=2.55663 t=2471
diao si 	釣絲	c=1 d=0.000426457 t=2471
diao yong 	調用	c=3 d=0.249363 t=2471
ding yi 	定義	c=8 d=0.00562858 t=2471
ding yi shi 	定義時	c=1 d=0.000884932 t=2471
ding zhe 	盯着	c=1 d=0.00673795 t=2471
dou 	抖	c=2 d=1.00389 t=2471
dou 	都	c=4 d=2.43427 t=2471
dou yu 	鬥魚	c=161 d=8.11685 t=2471
du 	杜	c=2 d=0.00407917 t=2471
du 	讀	c=1 d=0.00158052 t=2471
du pi 	肚皮	c=1 d=1.68696e-05 t=2471
du qu 	讀取	c=3 d=0.000466918 t=2471
du xie 	讀寫	c=1 d=2.25449e-05 t=2471
du zhan 	獨佔	c=2 d=0.000959282 t=2471
dui bi 	對比	c=2 d=0.704744 t=2471
dui mian 	對面	c=1 d=9.54016e-06 t=2471
dui shu 	對數	c=1 d=0.00484407 t=2471
dui xiang 	對象	c=4 d=0.0781879 t=2471
dui ying 	對應	c=2 d=0.292398 t=2471
duo 	多	c=8 d=0.132151 t=2471
duo da 	多大	c=1 d=0.00467746 t=2471
duo ge 	多個	c=1 d=0.000523486 t=2471
duo hang 	多行	c=1 d=0.0295994 t=2471
duo shao 	多少	c=2 d=0.000489893 t=2471
e 	額	c=1 d=0.0939493 t=2471
en 	恩	c=1 d=0.00290884 t=2471
en en 	嗯嗯	c=1 d=0.546074 t=2471
er 	兒	c=1 d=0.00182715 t=2471
er 	爾	c=2 d=0.00440826 t=2471
er bu shi 	而不是	c=1 d=0.000850233 t=2471
er dai 	二代	c=1 d=0.951229 t=2471
er ge 	二哥	c=1 d=1.19474e-05 t=2471
er jin zhi 	二進制	c=1 d=0.000220415 t=2471
er zi 	兒子	c=2 d=0.000624022 t=2471
fa 	發	c=1 d=0.170542 t=2471
fa song 	發送	c=7 d=0.340835 t=2471
fa xian 	發現	c=1 d=0.0464212 t=2471
fa xing 	發行	c=0 d=0.0680451 t=2471
fa xing ban 	發行版	c=3 d=2.10047 t=2471
fan chi 	飯吃	c=1 d=3.9272e-05 t=2471
fan hui 	返回	c=2 d=0.000743503 t=2471
fan yi 	翻譯	c=10 d=1.55716 t=2471
fang an 	方案	c=6 d=0.0570572 t=2471
fang fa 	方法	c=3 d=0.123844 t=2471
fang wen 	訪問	c=2 d=0.00457641 t=2471
fang xiang 	方向	c=2 d=0.652634 t=2471
fang xiang jian 	方向鍵	c=3 d=0.910851 t=2471
fei 	肥	c=1 d=0.00123091 t=2471
fei chang 	非常	c=1 d=0.00427488 t=2471
fei zhou 	非洲	c=2 d=1.64156 t=2471
fen 	份	c=1 d=2.45451e-05 t=2471
fen ge 	分割	c=1 d=5.22223e-05 t=2471
feng ge 	風格	c=1 d=2.20985e-05 t=2471
fo xi 	佛系	c=1 d=0.00122477 t=2471
fu 	夫	c=3 d=0.00631861 t=2471
fu 	服	c=3 d=4.54975e-05 t=2471
fu wu 	服務	c=3 d=0.000167783 t=2471
fu wu qi 	服務器	c=2 d=1.02347 t=2471
fu za 	複雜	c=2 d=0.00887647 t=2471
fu za xing 	複雜性	c=1 d=0.00451658 t=2471
fu zhi 	複製	c=2 d=0.00171761 t=2471
fu zhi 	賦值	c=1 d=0.000636198 t=2471
fu zhong 	附中	c=3 d=0.0150894 t=2471
gai 	改	c=2 d=0.177704 t=2471
gai 	該	c=5 d=0.127694 t=2471
gan jue 	感覺	c=1 d=0.00355287 t=2471
gang 	剛	c=1 d=3.81113e-05 t=2471
gao 	搞	c=1 d=0.00909528 t=2471
gao ci 	告辭	c=2 d=0.000714307 t=2471
gao ding 	搞定	c=3 d=0.0393264 t=2471
gao xiao 	搞笑	c=0 d=0.0683861 t=2471
gao xiao tu 	搞笑圖	c=1 d=0.687289 t=2471
gao zhong 	高中	c=4 d=0.0200562 t=2471
ge 	個	c=2 d=0.256679 t=2471
ge 	哥	c=7 d=0.369518 t=2471
ge 	格	c=1 d=6.85865e-06 t=2471
ge ge 	各個	c=1 d=0.715338 t=2471
ge shi 	格式	c=1 d=0.00726273 t=2471
ge shi hua 	格式化	c=1 d=0.00831246 t=2471
ge shu 	個數	c=1 d=0.00105417 t=2471
gei ni 	給你	c=2 d=1.69247e-05 t=2471
gen ben 	根本	c=1 d=0.00400585 t=2471
gen ju 	根據	c=1 d=0.0223708 t=2471
geng xin 	更新	c=5 d=3.2556 t=2471
gong neng 	功能	c=2 d=0.482392 t=2471
gong si 	公司	c=2 d=0.975368 t=2471
gong xiang 	共享	c=1 d=0.00159641 t=2471
gong zuo 	工作	c=2 d=0.0387153 t=2471
gong zuo shi 	工作室	c=1 d=1.69541e-05 t=2471
gou 	狗	c=6 d=0.000261272 t=2471
gou huang 	狗皇	c=4 d=0.00244172 t=2471
gou huang 	狗黃	c=2 d=1.60953e-05 t=2471
gu ge 	谷歌	c=2 d=0.201419 t=2471
gua ji 	掛機	c=1 d=7.42989e-06 t=2471
guan fang 	官方	c=3 d=0.263542 t=2471
guan li 	管理	c=1 d=8.06816e-05 t=2471
guan li qi 	管理器	c=4 d=0.000308441 t=2471
guo ji 	國際	c=1 d=0.035437 t=2471
guo qi 	國企	c=1 d=0.00197932 t=2471
hai 	還	c=3 d=1.69614 t=2471
hai shi 	還是	c=1 d=0.941765 t=2471
hai wai 	海外	c=1 d=0.00211225 t=2471
hai zi 	孩子	c=1 d=0.000300519 t=2471
han shu 	函數	c=24 d=0.886175 t=2471
hao 	好	c=2 d=0.357014 t=2471
hao cai 	好菜	c=1 d=0.0692522 t=2471
hao dian 	好點	c=1 d=0.0065062 t=2471
hao hao 	好好	c=1 d=0.00404611 t=2471
hao yong 	好用	c=2 d=0.0676313 t=2471
he 	和	c=7 d=0.809744 t=2471
hei 	黑	c=1 d=1.84582e-05 t=2471
hei ge 	黑哥	c=1 d=0.00278085 t=2471
hei ke 	黑客	c=2 d=1.3373 t=2471
hen 	很	c=2 d=0.128087 t=2471
hen bang 	很棒	c=1 d=2.56748e-05 t=2471
hu li 	狐狸	c=1 d=0.198891 t=2471
hua 	化	c=1 d=0.00729913 t=2471
hua 	畫	c=1 d=0.169483 t=2471
hua 	花	c=1 d=0.00591656 t=2471
hua 	華	c=2 d=0.133417 t=2471
hua 	話	c=1 d=0.00332928 t=2471
hua jia 	畫家	c=1 d=0.677057 t=2471
hua wei 	華爲	c=1 d=0.000391706 t=2471
huan hang 	換行	c=2 d=0.000318527 t=2471
huan jing 	環境	c=4 d=0.000284578 t=2471
huang 	皇	c=7 d=0.0850683 t=2471
huang 	黃	c=1 d=1.01301e-05 t=2471
hui 	會	c=3 d=0.0542006 t=2471
hui diao 	回調	c=2 d=0.00275601 t=2471
hui lai 	回來	c=2 d=0.221629 t=2471
hui shou zhan 	回收站	c=1 d=0.000464291 t=2471
hui yong 	會用	c=1 d=0.0142642 t=2471
huo 	或	c=2 d=0.00159341 t=2471
huo 	活	c=1 d=0.0020396 t=2471
huo jian 	火箭	c=1 d=0.00195963 t=2471
huo mao 	火貓	c=1 d=1.96979e-05 t=2471
huo qu 	獲取	c=1 d=8.0487e-06 t=2471
huo zhe 	或者	c=2 d=0.00124402 t=2471
ji 	即	c=9 d=0.00116353 t=2471
ji 	及	c=1 d=7.63639e-05 t=2471
ji 	機	c=1 d=0.00111936 t=2471
ji ben 	基本	c=1 d=6.12835e-05 t=2471
ji bing 	疾病	c=1 d=0.000254808 t=2471
ji cheng 	集成	c=1 d=0.0081887 t=2471
ji he 	集合	c=1 d=0.000575656 t=2471
ji jin 	集錦	c=2 d=0.0141315 t=2471
ji lu 	記錄	c=4 d=2.74929 t=2471
ji neng 	技能	c=1 d=4.0468e-05 t=2471
ji shu 	技術	c=1 d=0.000287295 t=2471
ji yong 	即用	c=1 d=0.000135032 t=2471
ji zhan 	激戰	c=4 d=0.0944517 t=2471
jia 	加	c=2 d=0.58751 t=2471
jia 	賈	c=1 d=0.054204 t=2471
jia ge 	價格	c=1 d=0.00677172 t=2471
jia jia 	家家	c=2 d=2.75564e-05 t=2471
jia jing 	家境	c=2 d=0.000691367 t=2471
jia zai 	加載	c=3 d=0.779365 t=2471
jia zhou 	加州	c=1 d=0.400517 t=2471
jian 	鍵	c=1 d=0.332871 t=2471
jian cha 	檢查	c=2 d=0.0162551 t=2471
jian jie 	簡介	c=3 d=0.000499026 t=2471
jian pan 	鍵盤	c=2 d=0.000140284 t=2471
jian shao 	減少	c=2 d=0.349209 t=2471
jian sheng 	劍聖	c=2 d=2.98515e-05 t=2471
jian shu 	簡述	c=1 d=6.14421e-06 t=2471
jian tou 	箭頭	c=1 d=0.290835 t=2471
jiang 	將	c=12 d=0.20766 t=2471
jiang jin 	將近	c=1 d=1.18285e-05 t=2471
jiao 	叫	c=1 d=1.98958e-05 t=2471
jiao 	教	c=1 d=0.00489275 t=2471
jiao cai 	教材	c=2 d=0.0105478 t=2471
jiao cheng 	教程	c=2 d=0.0300404 t=2471
jiao hu shi 	交互式	c=6 d=0.054932 t=2471
jiao zhu 	教主	c=1 d=0.00286554 t=2471
jie 	傑	c=2 d=0.663657 t=2471
jie gou 	結構	c=1 d=2.67226e-05 t=2471
jie guo 	結果	c=6 d=0.327054 t=2471
jie jue 	解決	c=3 d=0.0548549 t=2471
jie kou 	接口	c=1 d=0.161218 t=2471
jie li ke 	傑里科	c=0 d=0.0148823 t=2471
jie sheng 	節省	c=2 d=0.121363 t=2471
jie shi 	解釋	c=0 d=0.00247235 t=2471
jie shi qi 	解釋器	c=2 d=0.0708067 t=2471
jie shou 	接受	c=1 d=0.000459671 t=2471
jie shu 	結束	c=1 d=0.0209629 t=2471
jie xi 	解析	c=1 d=0.000238772 t=2471
jie ya 	解壓	c=1 d=5.43536e-05 t=2471
jin 	津	c=1 d=0.00250366 t=2471
jin 	金	c=1 d=0.0753961 t=2471
jin 	靳	c=1 d=0.995012 t=2471
jin cheng 	進程	c=1 d=0.0202419 t=2471
jin jin 	僅僅	c=1 d=0.000617396 t=2471
jin kou liang 	進口量	c=0 d=0.0148823 t=2471
jin kou liang jie li ke 	進口量傑里科	c=1 d=0.149569 t=2471
jin ping mei 	金瓶梅	c=5 d=0.525494 t=2471
jin ru 	進入	c=2 d=0.077888 t=2471
jin tian 	今天	c=1 d=0.353455 t=2471
jin xing 	進行	c=3 d=0.0580018 t=2471
jin yong 	禁用	c=5 d=4.68643 t=2471
jing 	京	c=1 d=0.00249118 t=2471
jing 	涇	c=1 d=0.00251621 t=2471
jing dong 	京東	c=2 d=0.000176614 t=2471
jing hua 	精華	c=1 d=0.000500451 t=2471
jing ji ren 	經紀人	c=2 d=3.33201e-05 t=2471
jing ling 	精靈	c=2 d=0.00257967 t=2471
jing pin 	精品	c=1 d=0.985112 t=2471
jing xiang 	鏡像	c=2 d=0.000386134 t=2471
jiu 	久	c=1 d=0.225373 t=2471
jiu 	就	c=6 d=1.08436 t=2471
jiu shi 	就是	c=2 d=0.9708 t=2471
ju 	局	c=2 d=1.28566e-05 t=2471
ju li 	距離	c=3 d=0.972045 t=2471
ju ran 	居然	c=1 d=0.00557201 t=2471
juan 	卷	c=1 d=0.000185029 t=2471
jue 	覺	c=1 d=0.0837432 t=2471
jue jin 	掘金	c=1 d=1.05964e-05 t=2471
jun tuan 	軍團	c=1 d=3.75439e-05 t=2471
ka 	卡	c=12 d=0.437837 t=2471
ka dun 	卡噸	c=2 d=0.00666262 t=2471
ka er 	卡爾	c=1 d=0.0678809 t=2471
kai bo 	開播	c=1 d=0.0925506 t=2471
kai fa 	開發	c=4 d=0.49442 t=2471
kai yuan 	開源	c=3 d=0.00237663 t=2471
kan 	看	c=2 d=0.118414 t=2471
kao 	考	c=1 d=1.25599e-05 t=2471
kao 	靠	c=1 d=0.980199 t=2471
kao shi 	考試	c=2 d=2.56921e-05 t=2471
ke 	克	c=0 d=0.0786628 t=2471
ke 	可	c=3 d=0.00131226 t=2471
ke jie shou 	可接受	c=1 d=0.000239969 t=2471
ke mu 	科目	c=2 d=2.5564e-05 t=2471
ke neng 	可能	c=1 d=1.72103e-05 t=2471
ke yi 	可以	c=11 d=0.178217 t=2471
ken ding 	肯定	c=1 d=6.39496e-06 t=2471
kong 	空	c=1 d=0.0987662 t=2471
kong jian 	空間	c=2 d=0.000309908 t=2471
kong zhi 	控制	c=2 d=0.613118 t=2471
kou 	口	c=1 d=0.275271 t=2471
kou 	釦	c=1 d=0.782705 t=2471
kou qian 	扣錢	c=0 d=0.083527 t=2471
ku 	庫	c=2 d=0.161183 t=2471
kuai 	塊	c=1 d=0.0608101 t=2471
kuai di 	快遞	c=2 d=0.000115141 t=2471
kuai jie jian 	快捷鍵	c=1 d=0.371577 t=2471
kuai qian 	塊錢	c=1 d=0.00600598 t=2471
kuang jia 	框架	c=1 d=0.000515692 t=2471
kuo hao 	括號	c=1 d=0.00737249 t=2471
la bi 	拉比	c=0 d=0.0786628 t=2471
la bi ke 	拉比克	c=2 d=1.59309 t=2471
la shi 	拉屎	c=1 d=0.0578443 t=2471
lai 	來	c=4 d=0.643628 t=2471
lan qiu 	籃球	c=1 d=0.0702988 t=2471
lang ren 	浪人	c=1 d=0.20089 t=2471
lang ren 	狼人	c=1 d=0.201897 t=2471
lao 	老	c=1 d=0.00147367 t=2471
lao ge 	老哥	c=2 d=0.0270102 t=2471
lao ge 	老歌	c=1 d=0.0130365 t=2471
lao shi 	老師	c=1 d=0.00463092 t=2471
le 	了	c=30 d=5.01825 t=2471
le 	樂	c=1 d=0.000510561 t=2471
lei 	類	c=2 d=0.00262833 t=2471
lei xing 	類型	c=2 d=0.97531 t=2471
li 	李	c=3 d=0.00557641 t=2471
li 	裏	c=1 d=0.00301245 t=2471
li cai 	理財	c=1 d=0.00640933 t=2471
li le 	離了	c=1 d=0.970446 t=2471
li mian 	裏面	c=4 d=0.360862 t=2471
li sha 	李殺	c=3 d=0.804185 t=2471
li sha 	麗莎	c=1 d=4.56275e-05 t=2471
li sha wang 	李殺網	c=1 d=0.305746 t=2471
li yong le 	李永樂	c=3 d=0.0141742 t=2471
li zhi 	勵志	c=1 d=0.0350844 t=2471
li zi 	例子	c=4 d=0.00326435 t=2471
lian 	聯	c=3 d=0.0027333 t=2471
lian jie 	鏈接	c=2 d=1.58579e-05 t=2471
liang 	亮	c=5 d=1.89771 t=2471
liang 	量	c=1 d=0.000777055 t=2471
liang du 	亮度	c=1 d=6.84094e-05 t=2471
liang ge 	兩個	c=1 d=0.308819 t=2471
liang tiao 	兩條	c=2 d=0.00539739 t=2471
liao 	聊	c=0 d=0.0594521 t=2471
liao tian 	聊天	c=1 d=0.640824 t=2471
lie biao 	列表	c=4 d=0.00272966 t=2471
ling 	令	c=1 d=1.09738e-05 t=2471
ling 	齡	c=1 d=0.00440507 t=2471
liu 	留	c=16 d=0.0255837 t=2471
liu chang 	流暢	c=3 d=0.00432823 t=2471
liu lan qi 	瀏覽器	c=4 d=0.168226 t=2471
lun li 	倫理	c=9 d=1.20455 t=2471
luo 	羅	c=3 d=0.0062871 t=2471
luo tuo 	駱駝	c=1 d=2.50409e-05 t=2471
lv 	率	c=2 d=0.483629 t=2471
lv he jin 	鋁合金	c=1 d=0.960789 t=2471
ma 	嗎	c=2 d=0.092674 t=2471
ma 	碼	c=14 d=1.65368 t=2471
mai 	買	c=3 d=0.932804 t=2471
mai 	賣	c=1 d=0.00571306 t=2471
mai bu qi 	買不起	c=1 d=0.00027603 t=2471
mao mi 	貓咪	c=2 d=0.446162 t=2471
mei 	梅	c=1 d=0.0761538 t=2471
mei 	沒	c=5 d=0.0317314 t=2471
mei 	美	c=5 d=0.0312954 t=2471
mei fa 	沒法	c=3 d=0.316966 t=2471
mei hang 	每行	c=1 d=0.000155324 t=2471
mei hua 	美化	c=1 d=0.0953692 t=2471
mei you 	沒有	c=4 d=0.471792 t=2471
mian fei 	免費	c=1 d=1.70391e-05 t=2471
ming ling 	命令	c=2 d=0.0830421 t=2471
ming ming 	命名	c=1 d=0.0015648 t=2471
ming ming 	明明	c=1 d=0.000322309 t=2471
ming tian 	明天	c=1 d=0.000273284 t=2471
mo 	莫	c=1 d=0.529935 t=2471
mo dao 	魔道	c=1 d=0.241714 t=2471
mo ming 	莫名	c=2 d=0.67842 t=2471
mo ni 	模擬	c=1 d=0.00110822 t=2471
mo ren 	默認	c=10 d=0.00361696 t=2471
mo shi 	模式	c=6 d=0.066715 t=2471
mo shi xia 	模式下	c=1 d=0.0468877 t=2471
mou tiao 	某條	c=1 d=0.625002 t=2471
mu lu 	目錄	c=2 d=0.000114524 t=2471
na 	拿	c=1 d=0.000253537 t=2471
na 	那	c=1 d=0.00343067 t=2471
na ge 	那個	c=3 d=0.354562 t=2471
na shi 	那是	c=1 d=0.574072 t=2471
na xie 	那些	c=1 d=0.0198411 t=2471
na yang 	那樣	c=1 d=0.0502874 t=2471
nai 	耐	c=1 d=0.955997 t=2471
nan sheng 	男生	c=1 d=0.00204983 t=2471
nan shou 	難受	c=1 d=0.147342 t=2471
ne 	呢	c=6 d=1.05763 t=2471
nei bu 	內部	c=1 d=0.00232276 t=2471
nei cun 	內存	c=4 d=0.600472 t=2471
nei lian 	內斂	c=1 d=0.000668817 t=2471
nei rong 	內容	c=4 d=0.0721492 t=2471
neng 	能	c=1 d=1.42323e-05 t=2471
neng yong 	能用	c=1 d=0.138069 t=2471
ni 	你	c=8 d=0.159812 t=2471
ni ha 	你哈	c=1 d=1 t=2471
ni hao 	你好	c=11 d=0.918512 t=2471
ni men 	你們	c=4 d=0.000943033 t=2471
ni ming 	匿名	c=5 d=0.00346914 t=2471
nian ling 	年齡	c=1 d=0.00460782 t=2471
niu bi 	牛逼	c=3 d=0.0201258 t=2471
niu pi 	牛皮	c=1 d=0.00543443 t=2471
nuo ji ya 	諾基亞	c=5 d=4.00067 t=2471
nv 	女	c=1 d=0.00145173 t=2471
nv sheng 	女生	c=1 d=0.00207043 t=2471
nv you 	女優	c=5 d=1.0691 t=2471
ou mei 	歐美	c=1 d=0.900325 t=2471
pa 	帕	c=3 d=0.00617336 t=2471
pa 	怕	c=0 d=0.00017643 t=2471
pa wei er 	怕維爾	c=1 d=0.00177315 t=2471
pai ban 	排版	c=1 d=0.189191 t=2471
pai dao 	拍到	c=2 d=0.00240266 t=2471
pai hang 	排行	c=2 d=0.21246 t=2471
pai ming 	排名	c=2 d=0.440729 t=2471
pan 	盤	c=4 d=0.000376331 t=2471
pan duan 	判斷	c=3 d=0.980199 t=2471
pan sheng 	攀升	c=2 d=0.00231849 t=2471
pang huang 	彷徨	c=2 d=0.681821 t=2471
pao mo 	泡沫	c=1 d=1 t=2471
pei 	配	c=1 d=0.000181365 t=2471
pei he 	配合	c=1 d=0.29671 t=2471
pei jian 	配件	c=2 d=0.0022783 t=2471
pei zhi 	配置	c=22 d=0.932394 t=2471
peng dao 	碰到	c=1 d=1.43036e-05 t=2471
pi liang 	批量	c=1 d=0.100259 t=2471
pian 	騙	c=1 d=0.000263884 t=2471
pin han 	貧寒	c=2 d=0.000694832 t=2471
ping 	屏	c=1 d=0.472367 t=2471
ping 	瓶	c=1 d=0.075774 t=2471
ping jia 	評價	c=1 d=2.3939e-05 t=2471
ping mu 	屏幕	c=3 d=0.404647 t=2471
qi 	器	c=0 d=0.00247235 t=2471
qi 	漆	c=3 d=2.56944 t=2471
qi dong 	啓動	c=1 d=0.00990218 t=2471
qi ji 	奇蹟	c=3 d=0.107921 t=2471
qi ta 	其他	c=1 d=0.0103063 t=2471
qi yong 	啓用	c=1 d=0.0102549 t=2471
qian 	錢	c=1 d=0.000335463 t=2471
qian cheng 	前程	c=1 d=8.21129e-06 t=2471
qian cheng 	虔誠	c=1 d=8.17034e-06 t=2471
qian yan 	前言	c=1 d=0.000139842 t=2471
qiang 	牆	c=1 d=0.000208619 t=2471
qin 	勤	c=1 d=0.229925 t=2471
qing se 	情色	c=2 d=0.428758 t=2471
qiong bi 	窮比	c=1 d=0.000342239 t=2471
qu 	區	c=3 d=0.00157738 t=2471
qu 	去	c=4 d=0.209982 t=2471
qu bie 	區別	c=2 d=0.724059 t=2471
qu dong 	驅動	c=3 d=0.00127191 t=2471
